keyword	keyword_group	keyword_group2
メディアミックス	実写映画メディアミックス	一般
映画化	実写映画メディアミックス	一般
漫画化	実写映画メディアミックス	一般
実写化	実写映画メディアミックス	一般
ドラマ化	実写映画メディアミックス	一般
live-action	実写映画メディアミックス	一般
#LINEマンガ	電子書籍サイト_ハッシュタグ	LINEマンガ
#コミックシーモア	電子書籍サイト_ハッシュタグ	コミックシーモア
#booklive	電子書籍サイト_ハッシュタグ	ブックライブ
#neowing	電子書籍サイト_ハッシュタグ	ネオウィング
#ハンディコミック	電子書籍サイト_ハッシュタグ	ハンディコミック
#ニコニコ静画	電子書籍サイト_ハッシュタグ	ニコニコ静画
#kindle	電子書籍サイト_ハッシュタグ	kindle
#ebookjapan	電子書籍サイト_ハッシュタグ	ebookjapan
#honto	電子書籍サイト_ハッシュタグ	honto
#kinoppy	電子書籍サイト_ハッシュタグ	紀伊國屋書店Kinoppy
#デジタルイーホン	電子書籍サイト_ハッシュタグ	デジタルイーホン
電子書籍サイト【Digital e-hon】	電子書籍サイト_ハッシュタグ	デジタルイーホン
#comico	電子書籍サイト_ハッシュタグ	comico
#マンガ図書館Z	電子書籍サイト_ハッシュタグ	マンガ図書館Z
#puboo	電子書籍サイト_ドメイン	puboo
p.booklog.jp/book	電子書籍サイト_ドメイン	puboo
www.shonenjump.com	電子書籍サイト_ドメイン	少年ジャンプ
morning.moae.jp	電子書籍サイト_ドメイン	モーニング_and_モアイ
binb-store.com	電子書籍サイト_ドメイン	binb-store
renta.papy.co.jp	電子書籍サイト_ドメイン	renta
fod.fujitv.co.jp/s/books	電子書籍サイト_ドメイン	FOD
ymdbook.com	電子書籍サイト_ドメイン	やまだ書店
www.viewn.co.jp	電子書籍サイト_ドメイン	ビューン
galapagosstore.com	電子書籍サイト_ドメイン	galapagosStore
www.moae.jp/comic	電子書籍サイト_ドメイン	モアイ
book.impress.co.jp/books	電子書籍サイト_ドメイン	インプレスブックス
www.magastore.jp	電子書籍サイト_ドメイン	マガストア
yomiho.cmoa.jp	電子書籍サイト_ドメイン	コミックシーモア読み放題
www.fujisan.co.jp	電子書籍サイト_ドメイン	fujisan.co.jp
www.mangabox.me	電子書籍サイト_ドメイン	マンガボックス
www.comico.jp	電子書籍サイト_ドメイン	comico
www.mangaz.com	電子書籍サイト_ドメイン	マンガ図書館Z
manga.line.me	電子書籍サイト_ドメイン	LINEマンガ
cmoa.jp	電子書籍サイト_ドメイン	コミックシーモア
booklive.jp	電子書籍サイト_ドメイン	ブックライブ
www.neowing.co.jp/ebooks	電子書籍サイト_ドメイン	ネオウィング
sp.handycomic.jp	電子書籍サイト_ドメイン	ハンディコミック
seiga.nicovideo.jp/comic	電子書籍サイト_ドメイン	ニコニコ静画
ebookjapan.jp	電子書籍サイト_ドメイン	ebookjapan
honto.jp	電子書籍サイト_ドメイン	honto
k-kinoppy.jp	電子書籍サイト_ドメイン	紀伊國屋書店Kinoppy
de-hon.ne.jp	電子書籍サイト_ドメイン	デジタルイーホン
